Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.43      0.03     0.03  8712416     0.00     0.00  Board::getPiece(long long, long long) const
 14.29      0.05     0.02 10454896     0.00     0.00  std::optional<Piece>::value() &
 14.29      0.07     0.02  8712416     0.00     0.00  std::optional<Piece>::has_value() const
 14.29      0.09     0.02   108905     0.00     0.00  Board::loss() const
  7.14      0.10     0.01 19167328     0.00     0.00  std::_Optional_base_impl<Piece, std::_Optional_base<Piece, true, true> >::_M_is_engaged() const
  7.14      0.11     0.01 10454896     0.00     0.00  std::_Optional_base_impl<Piece, std::_Optional_base<Piece, true, true> >::_M_get()
  7.14      0.12     0.01    57944     0.00     0.00  std::optional<std::pair<Coords, Coords> >::has_value() const
  3.57      0.12     0.01  2613720     0.00     0.00  Piece::getEast() const
  3.57      0.13     0.01  2613720     0.00     0.00  Piece::getSouth() const
  3.57      0.14     0.01    93448     0.00     0.00  std::exp(float)
  3.57      0.14     0.01       22     0.23     0.23  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.14     0.00 10454896     0.00     0.00  std::_Optional_payload_base<Piece>::_M_get()
  0.00      0.14     0.00  6969936     0.00     0.00  std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::operator[](unsigned long) const
  0.00      0.14     0.00  6969936     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::operator[](unsigned long) const
  0.00      0.14     0.00  2613720     0.00     0.00  Piece::getWest() const
  0.00      0.14     0.00  2613720     0.00     0.00  Piece::getNorth() const
  0.00      0.14     0.00  1742484     0.00     0.00  std::_Optional_base<Piece, true, true>::_Optional_base()
  0.00      0.14     0.00  1742484     0.00     0.00  std::_Optional_payload<Piece, true, true, true>::_Optional_payload()
  0.00      0.14     0.00  1742484     0.00     0.00  std::_Optional_payload_base<Piece>::_Storage<Piece, true>::_Storage()
  0.00      0.14     0.00  1742484     0.00     0.00  std::_Optional_payload_base<Piece>::_Optional_payload_base()
  0.00      0.14     0.00  1742480     0.00     0.00  std::optional<Piece>::optional(std::nullopt_t)
  0.00      0.14     0.00   667404     0.00     0.00  std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::operator[](unsigned long)
  0.00      0.14     0.00   667404     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::operator[](unsigned long)
  0.00      0.14     0.00   311254     0.00     0.00  normalizedRandom()
  0.00      0.14     0.00   282738     0.00     0.00  std::pair<Coords, Coords>& std::forward<std::pair<Coords, Coords>&>(std::remove_reference<std::pair<Coords, Coords>&>::type&)
  0.00      0.14     0.00   282735     0.00     0.00  std::_Optional_base_impl<std::pair<Coords, Coords>, std::_Optional_base<std::pair<Coords, Coords>, true, true> >::_M_is_engaged() const
  0.00      0.14     0.00   218110     0.00     0.00  Coords const& std::forward<Coords const&>(std::remove_reference<Coords const&>::type&)
  0.00      0.14     0.00   217806     0.00     0.00  randomFloat(float, float)
  0.00      0.14     0.00   217806     0.00     0.00  std::vector<Coords, std::allocator<Coords> >::operator[](unsigned long) const
  0.00      0.14     0.00   166881     0.00     0.00  std::_Optional_payload_base<std::pair<Coords, Coords> >::_M_get()
  0.00      0.14     0.00   166847     0.00     0.00  Board::swap(Coords const&, Coords const&)
  0.00      0.14     0.00   166846     0.00     0.00  std::_Optional_base_impl<std::pair<Coords, Coords>, std::_Optional_base<std::pair<Coords, Coords>, true, true> >::_M_get()
  0.00      0.14     0.00   115888     0.00     0.00  std::optional<std::pair<Coords, Coords> >::value() &
