Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.50      0.01     0.01  5647792     0.00     0.00  std::optional<Piece>::value() &
 12.50      0.02     0.01  5647792     0.00     0.00  std::_Optional_base_impl<Piece, std::_Optional_base<Piece, true, true> >::_M_get()
 12.50      0.03     0.01  5647792     0.00     0.00  std::_Optional_payload_base<Piece>::_M_get()
 12.50      0.04     0.01  4706496     0.00     0.00  Board::getPiece(long long, long long) const
 12.50      0.05     0.01  4706496     0.00     0.00  std::optional<Piece>::has_value() const
 12.50      0.06     0.01   941300     0.00     0.00  std::_Optional_payload_base<Piece>::_Optional_payload_base()
 12.50      0.07     0.01    58831     0.00     0.00  Board::loss() const
  6.25      0.07     0.01       32     0.16     0.16  void std::_Destroy<Coords*>(Coords*, Coords*)
  6.25      0.08     0.01       16     0.31     0.31  void std::_Optional_payload_base<Piece>::_M_construct<Piece&>(Piece&)
  0.00      0.08     0.00 10354304     0.00     0.00  std::_Optional_base_impl<Piece, std::_Optional_base<Piece, true, true> >::_M_is_engaged() const
  0.00      0.08     0.00  3765200     0.00     0.00  std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::operator[](unsigned long) const
  0.00      0.08     0.00  3765200     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::operator[](unsigned long) const
  0.00      0.08     0.00  1411944     0.00     0.00  Piece::getEast() const
  0.00      0.08     0.00  1411944     0.00     0.00  Piece::getWest() const
  0.00      0.08     0.00  1411944     0.00     0.00  Piece::getNorth() const
  0.00      0.08     0.00  1411944     0.00     0.00  Piece::getSouth() const
  0.00      0.08     0.00   941300     0.00     0.00  std::_Optional_base<Piece, true, true>::_Optional_base()
  0.00      0.08     0.00   941300     0.00     0.00  std::_Optional_payload<Piece, true, true, true>::_Optional_payload()
  0.00      0.08     0.00   941300     0.00     0.00  std::_Optional_payload_base<Piece>::_Storage<Piece, true>::_Storage()
  0.00      0.08     0.00   941296     0.00     0.00  std::optional<Piece>::optional(std::nullopt_t)
  0.00      0.08     0.00   359304     0.00     0.00  std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::operator[](unsigned long)
  0.00      0.08     0.00   359304     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::operator[](unsigned long)
  0.00      0.08     0.00   168359     0.00     0.00  normalizedRandom()
  0.00      0.08     0.00   151811     0.00     0.00  std::pair<Coords, Coords>& std::forward<std::pair<Coords, Coords>&>(std::remove_reference<std::pair<Coords, Coords>&>::type&)
  0.00      0.08     0.00   151808     0.00     0.00  std::_Optional_base_impl<std::pair<Coords, Coords>, std::_Optional_base<std::pair<Coords, Coords>, true, true> >::_M_is_engaged() const
  0.00      0.08     0.00   117898     0.00     0.00  Coords const& std::forward<Coords const&>(std::remove_reference<Coords const&>::type&)
  0.00      0.08     0.00   117658     0.00     0.00  randomFloat(float, float)
  0.00      0.08     0.00   117658     0.00     0.00  std::vector<Coords, std::allocator<Coords> >::operator[](unsigned long) const
  0.00      0.08     0.00    89848     0.00     0.00  std::_Optional_payload_base<std::pair<Coords, Coords> >::_M_get()
  0.00      0.08     0.00    89822     0.00     0.00  Board::swap(Coords const&, Coords const&)
  0.00      0.08     0.00    89821     0.00     0.00  std::_Optional_base_impl<std::pair<Coords, Coords>, std::_Optional_base<std::pair<Coords, Coords>, true, true> >::_M_get()
  0.00      0.08     0.00    61986     0.00     0.00  std::optional<std::pair<Coords, Coords> >::value() &
  0.00      0.08     0.00    58864     0.00     0.00  std::vector<Coords, std::allocator<Coords> >::size() const
  0.00      0.08     0.00    58829     0.00     0.00  Board::randomSwap()
  0.00      0.08     0.00    58829     0.00     0.00  Board::get2RandomMovablePieceCoords() const
  0.00      0.08     0.00    58829     0.00     0.00  std::pair<Coords, Coords>::pair<Coords, Coords, true>(Coords const&, Coords const&)
  0.00      0.08     0.00    58829     0.00     0.00  std::enable_if<__and_v<std::__not_<std::is_same<std::optional<std::pair<Coords, Coords> >, std::remove_cv<std::remove_reference<std::pair<Coords, Coords>&>::type>::type> >, std::__not_<std::__and_<std::is_scalar<std::pair<Coords, Coords> >, std::is_same<std::pair<Coords, Coords>, std::decay<std::pair<Coords, Coords>&>::type> > >, std::is_constructible<std::pair<Coords, Coords>, std::pair<Coords, Coords>&>, std::is_assignable<std::pair<Coords, Coords>&, std::pair<Coords, Coords>&> >, std::optional<std::pair<Coords, Coords> >&>::type std::optional<std::pair<Coords, Coords> >::operator=<std::pair<Coords, Coords>&>(std::pair<Coords, Coords>&)
  0.00      0.08     0.00    58829     0.00     0.00  std::abs(float)
  0.00      0.08     0.00    58829     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<Coords const&>::type>::__type, std::__strip_reference_wrapper<std::decay<Coords const&>::type>::__type> std::make_pair<Coords const&, Coords const&>(Coords const&, Coords const&)
  0.00      0.08     0.00    50701     0.00     0.00  std::exp(float)
